,City,Median_Home_Price,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
228,Redlands,427466.0,34.055735,-117.1888961,53,118,6,241,54,127,204,38,220,121
229,Redwood Valley,426990.0,39.26841725,-123.19937042155391,8,8,0,55,8,33,111,10,172,24
230,Gonzales,426567.0,36.5066296,-121.4443806,3,2,1,31,9,8,53,0,47,3
231,Manteca,426234.0,37.7986184,-121.2117148,11,26,3,110,13,73,106,9,126,59
232,Carmichael,424760.0,38.62709845,-121.32224222755409,93,133,6,243,153,186,222,62,177,174
233,San Simeon,424526.0,35.6133158,-121.1442346,13,1,1,43,7,31,28,1,69,47
234,Vallejo,424179.0,38.1040864,-122.2566367,58,46,8,147,43,159,177,28,184,107
235,Wildomar,423992.0,33.61603035,-117.25605451906165,41,67,7,216,50,147,206,57,231,88
236,Riverside,422342.0,33.9533546,-117.3961623,48,106,7,238,61,165,196,52,166,113
237,Escalon,421251.0,37.7974273,-120.9966033,15,40,5,130,27,87,129,20,185,52
238,Cool,419287.0,40.848021,-123.7906279,0,0,0,1,0,1,0,0,0,0
239,Rosedale,418677.0,35.3777238,-119.14565861581144,36,65,4,188,58,108,181,25,221,131
240,Sunnyslope,417906.0,34.02187395,-117.41959906932982,70,133,8,232,84,153,207,58,186,138
241,Home Gardens,417510.0,33.8808327,-117.5133522182106,46,96,6,179,49,165,203,53,215,106
242,Courtland,417236.0,38.3310231,-121.568566,4,4,0,31,7,43,52,11,37,14
243,Mount Baldy,416510.0,34.2891206,-117.6464047,11,5,1,17,6,34,30,0,35,8
244,Fontana,415836.0,34.0922335,-117.435048,66,113,6,235,79,154,204,61,189,157
245,June Lake,414662.0,37.78075065,-119.08080154145367,1,0,0,11,12,52,7,0,10,14
246,Bethel Island,414246.0,38.029033999999996,-121.64000881834863,20,11,5,136,20,110,139,15,165,38
247,Placerville,414210.0,38.7296252,-120.798546,11,4,0,89,18,66,112,3,164,25
248,Soledad,414050.0,36.4269452,-121.3272147,3,3,1,39,8,16,56,2,53,4
249,Suisun City,413415.0,38.2382474,-122.040244,23,30,4,106,31,87,176,31,186,67
250,Orangevale,412310.0,38.6840715,-121.21839903078865,70,96,8,241,98,211,218,59,221,179
251,Glen Avon,411716.0,34.015413,-117.49253294451083,67,119,7,233,90,175,212,70,200,160
252,San Miguel,411371.0,35.754959,-120.69322707884933,14,4,5,75,28,38,103,3,145,49
253,Palo Cedro,410058.0,40.548524,-122.23278783212996,16,22,0,131,22,89,136,19,204,83
254,Piru,409060.0,34.4156137,-118.7927456,13,35,2,45,4,57,60,8,92,26
255,Hickman,408128.0,37.625515,-120.75613177470953,3,28,2,30,3,38,83,9,64,12
256,Santa Maria,407689.0,34.9531295,-120.4358577,20,23,2,84,13,75,126,12,194,42
257,Rough and Ready,407293.0,39.2295981,-121.138682,15,8,4,83,15,54,107,5,175,25
258,Grass Valley,405886.0,39.2086655,-121.05312307741224,16,8,4,94,16,64,101,5,168,29
259,Florence-Graham,405627.0,33.9700896,-118.2449937,177,196,35,245,243,179,254,160,163,197
260,Colfax,401718.0,39.1007902,-120.9532947,2,3,0,36,14,37,50,4,116,22
261,Palm Springs,400958.0,33.8246269,-116.540303,63,11,16,207,74,144,177,34,197,171
262,Capay,400320.0,38.7076812,-122.0480266,2,0,0,9,4,9,12,1,11,3
263,Ballico,400211.0,37.4543809,-120.7060337,9,35,1,83,8,47,117,8,157,33
264,Woodland,400059.0,38.6786109,-121.7733285,27,154,4,120,40,115,161,50,204,83
265,Mountain Center,399411.0,33.7047975,-116.7252925,14,10,1,23,8,42,24,0,53,17
266,Penn Valley,398892.0,39.1948165,-121.19264637070282,12,8,0,61,6,49,80,5,143,19
267,Millville,398098.0,40.557466500000004,-122.17667884577551,5,14,0,87,14,45,75,10,148,42
268,Galt,396512.0,38.3012325,-121.33103724662058,10,10,2,99,12,79,129,14,170,31
269,Oakdale,395878.0,37.787351349999994,-120.81972543130206,5,8,2,74,8,53,43,2,123,12
270,Foresthill,395055.0,39.0019935,-120.82540181422367,2,7,0,18,12,10,32,1,41,11
271,Prather,394900.0,37.0374497,-119.5140236,3,4,0,6,4,0,15,0,20,0
272,Rubidoux,391761.0,33.994015000000005,-117.42374068452926,61,124,9,235,80,182,219,52,202,127
273,Chico,391717.0,39.7284945,-121.8374777,24,75,3,133,42,109,143,49,212,49
274,Copperopolis,390962.0,37.941764,-120.63679473786408,2,0,0,9,6,18,16,1,18,4
275,Boonville,390730.0,39.0091667,-123.3661111,2,1,1,13,5,7,20,0,12,7
